Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns
Aonla,EAST NIMAR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control stem borer in paddy,applied endosulfan drop by injection in plant
1064,EAST NIMAR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control yellow stem borer in paddy,should be spray metasystox 35mlpump
Cotton Kapas,EAST NIMAR,2,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control aphids in groundnut,
Cotton Kapas,EAST NIMAR,2,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control flower drop in papaya,should be appply spray mancozeb 35mlpump
1137,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control diesase in buffalo,should be spray chloropyriphos 15kgha with irrigation water
1137,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control leaf curl in tomato,applied dust chloropyriphos 15kgha wuith irrigation water
Groundnut pea nutmung phalli,BALAGHAT,3,RABI,AGRICULTURE,MADHYA PRADESH,whast is the ontrol of the tobbacco catter pillar in the soybean ,should be spray metasystox 35mlpump
1324,BALAGHAT,102,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of fruit dropping in mango,should be spray planofix 3-5mlpump
964,BALAGHAT,38,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how to control yellowvein mosaic of bhindi,contect at nearest animal jospital
2108,BETUL,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control of shoot borer in maize,should be spray imidacloprid 35mlpump
Soybean bhat,CHHINDWARA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control termite in wheat field,apply the trizophos  250 ml per acre 
1268,SEONI,75,RABI,HORTICULTURE,MADHYA PRADESH,flowr inducer  sptay in soyabean ,Apply to you spray of planofix 5 mlpump
1282,BHIND,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control of  green gram   mosaic ,sprey metasistox15mlpump
1064,GWALIOR,3,RABI,AGRICULTURE,MADHYA PRADESH,what is the control of the Gram Pod Borer ,should be spray metasystox 35mlpump
1075,SHIVPURI,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is the important varieties of the potato for the madhya pradesh ,spray dltamethrin 35mlpump
Wheat,SHIVPURI,3,RABI,AGRICULTURE,MADHYA PRADESH,what is the control of the borer ,use chlorpyrephos1lithactwhit the help of irrigation water
Soybean bhat,GUNA,26,JAYAD,AGRICULTURE,MADHYA PRADESH,what is the control of the Semilooper ,spray vipul   15 ml pump
Green Gram Moong Bean Moong,VIDISHA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,how to control flower drop in bottle gourd,spray   imidacloprid  5 ml pump
Green Gram Moong Bean Moong,VIDISHA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is the contol of green cattr pillar in the soybean ,
Wheat,MORENA,3,,AGRICULTURE,MADHYA PRADESH,how to control pumkin beetle in cucumber,Spray insecticides like polytrin C 44 EC  1000 mlhaOR Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
Potato,MORENA,5,,AGRICULTURE,MADHYA PRADESH,how to control thrips in chilli,kufari kisan and kufari chandan are the important varieties of the potato for the madhya pradesh
Garlic,MORENA,3,,AGRICULTURE,MADHYA PRADESH,what are control of cotton white fly ,Dusting with endosulfan 4 or Fanvalerate 04 or Quinolphos 15 25 to 30 kgha Spray with endosulfan 35 EC  1200 mlha or Quinolphos 25 EC  10 litha In case of severe infestation apply Profenophos  Cypermethrin 44 EC  1litha
Cabbage,MORENA,76,,HORTICULTURE,MADHYA PRADESH,how to control fruit borer in bitter gourd,Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
1275,SHAJAPUR,99,RABI,HORTICULTURE,MADHYA PRADESH,what is the important varieties of the coriander for the madhya pradesh ,should be spray planofix 7mlpump
Soybean bhat,RATLAM,3,,AGRICULTURE,MADHYA PRADESH,how to control sucking pest in cowpea,
1064,RATLAM,3,RABI,AGRICULTURE,MADHYA PRADESH,variety of onion,spraying for dimethod 750-1000mlha
2114,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control aphid jassid and thrips in cotton,should be spray profenophos 35mlpump
1280,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control aphidjassid and thrips in cotton,should be spray dimethod 35mlpump
Cotton Kapas,MANDSAUR,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what are varieties of maize,spray imidacloprid  5 ml pump
1279,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control hopper in mango,should be spray metasystox 35mlpump
2113,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,how to control aphids in coriander,should be spray profenophos 35mlpump
2108,MANDSAUR,76,RABI,HORTICULTURE,MADHYA PRADESH,what are control of cotton aphids ,should be spray metasystox 35mlpoump
Coriander,MANDSAUR,5,,AGRICULTURE,MADHYA PRADESH,How to increase milk production of cow,gujrat dhaniya one and gujrat dhaniya two are the good varieties of the dhaniya for the madhya pradesh
1818,MANDSAUR,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control fruit drop in jackfruit,should be spray dimethod 35mlpump
Onion,DEWAS,78,RABI,HORTICULTURE,MADHYA PRADESH,what are control  of sorghum stem borer ,pusa rednasik red
Cotton Kapas,DEWAS,3,JAYAD,AGRICULTURE,MADHYA PRADESH,chilli  flower dropping  control  ,
Cotton Kapas,DEWAS,3,JAYAD,AGRICULTURE,MADHYA PRADESH,CONTROL CHILLI LEAF CURLING ,apply to you spray of immidachloroprid 15 mlpump of crop for control its
1075,DEWAS,5,RABI,AGRICULTURE,MADHYA PRADESH,how to brackout wheat stra in field,sown on varieties ganga-5 deccan-101naveen and jyoti etc
1268,DEWAS,76,RABI,HORTICULTURE,MADHYA PRADESH,What is the control of yellow mosaic in bhindi,should be spray dimethod 35mlpump
Coriander,INDORE,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control of fruit borer in brinjal,should be spray metasystox 35mlpump
Cotton Kapas,INDORE,3,JAYAD,AGRICULTURE,MADHYA PRADESH,potato  seed sowing ,spray imiacloprid  5 ml pump
BovineCowBuffalo,INDORE,Dairy Production,RABI,ANIMAL HUSBANDRY,MADHYA PRADESH,how to control flower drop in brinjal,you can give gylox powder 100 gram in a day for increase milk production of cow
1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control sucking pest in urd,
1996,INDORE,75,JAYAD,HORTICULTURE,MADHYA PRADESH,What is the control of fruit and  shoot bore in bhindi ,apply to you spray of planofix 5 mlpump for control its
1576,INDORE,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is til  white fly control   ,spray trizophose  40 ml pump
Chillies,WEST NIMAR,99,JAYAD,HORTICULTURE,MADHYA PRADESH,what is sowing time of bishops weed,spray planofix  15 ml pump
Chillies,DHAR,76,JAYAD,HORTICULTURE,MADHYA PRADESH,what is the control of the Soybean Aphid ,
Chillies,DHAR,76,JAYAD,HORTICULTURE,MADHYA PRADESH,how to control of naerosis in soybean,SPRAY ACETAMIPRID  5 ML PUMP
Others,DHAR,76,RABI,HORTICULTURE,MADHYA PRADESH,what is give you information fuit borer controller of binjal ,you drive to herro i field
1282,JHABUA,75,RABI,HORTICULTURE,MADHYA PRADESH,how to control becterial blight in brinjal,Apply to you spray monocrotophos 30 mlpump
1279,REWA,76,JAYAD,HORTICULTURE,MADHYA PRADESH,what is the control of the Gram cutworm ,spay for profenophos 35mlpump
1296,REWA,74,JAYAD,HORTICULTURE,MADHYA PRADESH,What is the control of purple blotches in onion,sow in oct- nov 
2108,REWA,76,RABI,HORTICULTURE,MADHYA PRADESH,what is the control of the Bihar hairy caterpillar Spilosoma obliqua ,should be spray metasystox 35mlpump
1279,REWA,99,RABI,HORTICULTURE,MADHYA PRADESH,what is the control of the Tobacco caterpillar Spodoptera litura ,sprey planofix4mlpump
Black Gram urd bean,SATNA,3,RABI,AGRICULTURE,MADHYA PRADESH,how to control leaf curl in onion,should be spray deltamethrin 25mlpump
1282,SHAHDOL,76,RABI,HORTICULTURE,MADHYA PRADESH,what is the control of the fruit borer ,you can carbyrl dust 20-25 kg in a hactare for control its
Oil palm,DATIA,3,JAYAD,AGRICULTURE,MADHYA PRADESH,what is the important varieties of the moong for the madhya pradesh ,spray  acetamiprid  5 ml pump
1996,DATIA,75,JAYAD,HORTICULTURE,MADHYA PRADESH,how to increase milk production of buffalo,apply to you spray of planofix 5 mlpump for control its
Others,CHHATARPUR,102,RABI,HORTICULTURE,MADHYA PRADESH,provide me fishries farming information,octumber to november are suitable time of bishops weed
1808,PANNA,3,,AGRICULTURE,MADHYA PRADESH,what is the control of the Thrips ,Spray 001 endosulphan 35 EC or 005 quinalphos 25 EC or 001 malathionOR Spray monocrotophos 36 SC oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
Soybean bhat,SEHORE,2,JAYAD,AGRICULTURE,MADHYA PRADESH,what is the control of the White fly ,should be apply spray mancozeb mlpump
1279,SEHORE,76,JAYAD,HORTICULTURE,MADHYA PRADESH,what is give you infomation aphid controller of green gram,tryzophos-30mlpump spray crop in brinjal
1279,RAISEN,75,RABI,HORTICULTURE,MADHYA PRADESH,what is give you information catter pillar controller of cotton,applied vavistin 15kgha with irrigation water
1279,RAISEN,75,RABI,HORTICULTURE,MADHYA PRADESH,what is give you information damping off controller of bottole gourd,
Potato,KATNI,3,,AGRICULTURE,MADHYA PRADESH,FRUIT BORER OF BRINJAL,Deltamethrin 28 EC  750 mlhaOR Quinalphos 25 EC  1000 mlhaORIn case of severe infestation Spray insecticides like polytrin C-44 EC  1000 mlha
Onion,KATNI,75,RABI,HORTICULTURE,MADHYA PRADESH,Askijng about cultivation of cowpea,you can spray of mencozeb 20-25 mlpump of crop for control its
Wheat,KATNI,3,,AGRICULTURE,MADHYA PRADESH,VARITIES OF SCENTED RICE,Trizophos 40 EC  08 LithaOR Quinolphos 25 Ec  15 lithaOR Methomyl 40 SP  100ghaOR Ethion 50 EC 15 litha
Soybean bhat,KATNI,3,,AGRICULTURE,MADHYA PRADESH,FERTILIZER DOSES OF COCONUT,Quinolphos 25 EC  1000mlhaor Ethofenprox 10 EC  1000mlha In case of severe infestation apply Polytrin 44  1 litha or Profenophos 50 EC 200 litha Always use hollow cone noozle for spraying Dust endosulfan 4 or quinalphos 15  25kgha when their population is likely to reach 10m row length ETL Repeat it as eeded
Onion,UMARIA,76,RABI,HORTICULTURE,MADHYA PRADESH,VARIETIES OF MOONG,spraying for dimethod 35mlpump
Onion,UMARIA,76,RABI,HORTICULTURE,MADHYA PRADESH,asking about seed rate of kharif bhindi,
1279,NEEMUCH,76,,HORTICULTURE,MADHYA PRADESH,STEM BORER OF MAIZE,Spray insecticides like polytrin C 44 EC  1000 mlhaOR Profenophos 50 EC  1500 mlhaOR Spark 36 EC at the rate of 1000 mlhaOR Chlorpyriphos 20 EC 200 ml  acephate 100 mlha
1064,NEEMUCH,5,,AGRICULTURE,MADHYA PRADESH,WEATHER CONDATION IN KHAGARIA,pant moong one and pant moong two are the good varieties of the moong for the madhya pradesh
964,NEEMUCH,Dairy Production,JAYAD,ANIMAL HUSBANDRY,MADHYA PRADESH,Varieties of Tomato,you can give gylox powder 100 gram in a day for increase milk production of buffalo
1976,NEEMUCH,61,JAYAD,FISHERIES,MADHYA PRADESH,FRUIT CRACKING IN MANGO,
1976,NEEMUCH,61,JAYAD,FISHERIES,MADHYA PRADESH,Weather condition of Katihar dist,0755-2552082 fishries department bhopal for more detail information
964,NEEMUCH,Dairy Production,JAYAD,ANIMAL HUSBANDRY,MADHYA PRADESH,Asking about fruit borer in Bhindi,
1808,NEEMUCH,3,,AGRICULTURE,MADHYA PRADESH,SOWING TIME MARCH - APRIL ,Spray monocrotophos 36 SC oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
Coriander,NEEMUCH,3,,AGRICULTURE,MADHYA PRADESH,ASKING ABOUT VARITIES OF MAIZE,Spray 001 endosulphan 35 EC or 005 quinalphos 25 EC or 001 malathionOR Spray monocrotophos 36 SL oxydemeton methyl Metasystox 25 EC or dimethoate Rogor 30 EC  10-12 ml in 10 I water 750 -1000 I sprayha at the crop age of 35-40 days and repeat after 15 days if needed
Green Gram Moong Bean Moong,NEEMUCH,3,JAYAD,AGRICULTURE,MADHYA PRADESH,safflower hybrids,immidacloprid-15mlpump spray crop in green gram
Cotton Kapas,NEEMUCH,3,JAYAD,AGRICULTURE,MADHYA PRADESH,blight,melathion-30mlpump spray crop in cotton
1275,NEEMUCH,76,JAYAD,HORTICULTURE,MADHYA PRADESH,babycorn hybrids,dithane m-4520gpump spray cop in bottole gourd
1279,PATNA,76,KHARIF,HORTICULTURE,BIHAR,stem borer of sugarcane,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
1818,SIWAN,Cultural Practices,RABI,AGRICULTURE,BIHAR,Control measures against red spider mites,Answer given detail to farmer 
2763,SITAMARHI,5,JAYAD,AGRICULTURE,BIHAR,planting time of rose,PUSA BASMATISUGANDHAKAMINI
Coconut,SAMASTIPUR,Fertilizer Use and Availability,KHARIF,HORTICULTURE,BIHAR,sowing season of watermelon,FERTILIZER ARE NPK  1:2:2 KGPLANT 
1064,SAMASTIPUR,5,KHARIF,AGRICULTURE,BIHAR,Contact details for training,
1064,SAMASTIPUR,5,KHARIF,AGRICULTURE,BIHAR,Reddning in cotton,VARIETIES ARE PUSA VISHALSONASAMARST  PS-16 ETC 
1282,SAMASTIPUR,92,JAYAD,HORTICULTURE,BIHAR,Control for leaf curl,bhawani krishnaindranilanokhi
1075,KHAGARIA,3,KHARIF,AGRICULTURE,BIHAR,attack of fruit borar,DUSTING WITH CARBOFURAN 3 G  7 KGHECT 
Others,KHAGARIA,Weather,KHARIF,AGRICULTURE,BIHAR,attack of thrips on cotton ,ANSWER GIVEN TO DETAIL 
Tomato,BHAGALPUR,78,RABI,HORTICULTURE,BIHAR,Cultivation details,Varieties are North Amrit-501601BSS-422Pusa Hybrid-1Arka VikashPusa Gaurav LabonitaPanjab CHHuharKanchan and seed rate are 500-700gmhect and disstance diterminat variety 6045 and Inditerminate variety is 6050cm Hybrid seed rate 400-500gmhect
1268,MUNGER,75,RABI,HORTICULTURE,BIHAR,arhid on brinjal,SPRAY BOREX  2 GMLIT WATER
Others,KATIHAR,Weather,,HORTICULTURE,BIHAR,blight on onion,Answer given to farmer by Internet
1282,ARARIA,76,RABI,HORTICULTURE,BIHAR,ask fertlizers dose of onion ,Spray Endosulphon  2mllit of water
1064,MUZAFFARPUR,12,KHARIF,AGRICULTURE,BIHAR,varieties of tamato,
1064,MUZAFFARPUR,12,KHARIF,AGRICULTURE,BIHAR,fertilizer dose for onion,SOWING TIME ARE MARCH - APRIL
1279,MUZAFFARPUR,76,KHARIF,HORTICULTURE,BIHAR,Control against pod borer,SPRAY ENDOSULPHAN 35 EC  15 MLLT OF WATER 
1075,MUZAFFARPUR,5,JAYAD,AGRICULTURE,BIHAR,Leaf blight,VARITIES ARE HAVING SHAKTIMAN-12 SUWANDEWAKI
Safflower kusumkardi,BANGALORE,5,,AGRICULTURE,KARNATAKA,sowing season of cucumber,sarpan hybrids recomended
Ginger,HASSAN,75,,HORTICULTURE,KARNATAKA,Flower dropping,coc 2gpl
Baby Corn,SHIMOGA,78,,HORTICULTURE,KARNATAKA,blight of onion,advanta hybrids recomended
Sunnhemp Patua,NASIK,3,RABI,AGRICULTURE,MAHARASHTRA,ask micronutrent on watermelon ,drench the Chloropyriphos   methyl demetom  20 ml10 ltr water each in furrow
Grape,NASIK,76,KHARIF,HORTICULTURE,MAHARASHTRA,control measure for onion blight,Maintain field sanitationPlant debris after pruning should be destroyedDifferent neem formulations containing azadirachtin depending upon strength of botanical viz1  20ml and 5  05 mll can be sprayedSpray following chemical insecticides Insecticide Dose Pre-Harvest interval Dicofol 185 EC 25 mll 100 days Fenpyroximate 5EC 10mll 60 days Difenthiuron 50EC 08 mll 45 days Sulphur 80WP 200gl 15 days Abamectin 19 EC 030mll 7 days Azadirachtin1 200 mll 3 days
Rose,NASIK,85,,HORTICULTURE,MAHARASHTRA,when should be harwest watermelon,jully-august
Watermelon,DHULE,74,,HORTICULTURE,MAHARASHTRA,ask with on maize ,jan-feb
BovineCowBuffalo,DHULE,36,,ANIMAL HUSBANDRY,MAHARASHTRA,varieties of shimala mirch ,2358238123522368 23272332236623442344 2346235523602379234223252352 2346238123522325235423812346 2309234323672325236623522368 234223812357236623522366 233223672354238123612366 231323422381235123792327 232523752306234223812352 23322350234423662327236723522368 235223792337 2343236923552375 - 424001  Phno02562-246292
Cotton Kapas,DHULE,29,KHARIF,AGRICULTURE,MAHARASHTRA,sowing time of gram,Spray 100gm Magnesium sulphate  50gm Urea in 10lit of water Spray 2 DAP at boll development stage
1280,JALGAON,75,KHARIF,HORTICULTURE,MAHARASHTRA,sowing time of zaid season groundnut,Alternate spray of dicofol  25 mllit of water followed by wettable sulphur  025 to avoid resistance development Two spray of systemic insecticide is essential for control of thrips and insect vector
1279,JALGAON,76,,HORTICULTURE,MAHARASHTRA,market rate for cotton,spray 25ml sypermetrin in 10lt of water
Cotton Kapas,JALGAON,3,KHARIF,AGRICULTURE,MAHARASHTRA,varieties of brinjal ,spraying of emida croplid 5 ml in 10 lit of water
Ginger,AHMADNAGAR,87,JAYAD,HORTICULTURE,MAHARASHTRA,dissconected,Given all required information
Ginger,AHMADNAGAR,87,JAYAD,HORTICULTURE,MAHARASHTRA,control measure for tur pod borer,
1279,AHMADNAGAR,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,redning of cotten,spraying of emidacloprid
Onion,AHMADNAGAR,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,aphid on jawar,copper oxycloride25ml10lit of water
Onion,AHMADNAGAR,Fertilizer Use and Availability,KHARIF,HORTICULTURE,MAHARASHTRA,weedicide for wheat,fertlizers dose of onion 15:15:15 135 kg  urea 45 kg acre
2108,AHMADNAGAR,78,,HORTICULTURE,MAHARASHTRA,infection of tambera in wheat ,arka alokpusa shitalrajshribhagshri etc
Onion,AHMADNAGAR,Fertilizer Use and Availability,,HORTICULTURE,MAHARASHTRA,Control for leaf blight,apply 135kg suphala45kg ujjwala per acre
1037,AHMADNAGAR,2,KHARIF,AGRICULTURE,MAHARASHTRA,Yellowing of leaves,Spray NSKE 5 twice followed by triazophos 005 Apply any one of insecticides at 25 kgha endosulfan 4D quinalphos 4D carbaryl 5D
Wheat,AHMADNAGAR,2,KHARIF,AGRICULTURE,MAHARASHTRA,infection of blight on onion ,Spray the crop with Mancozeb or Zineb at 15 kgha
Teak,PUNE,87,,HORTICULTURE,MAHARASHTRA,market rate of cotton,Given all required information
2114,SATARA,74,,HORTICULTURE,MAHARASHTRA,varieties of bhindi,oct-novjan-feb
1268,SANGLI,100,RABI,HORTICULTURE,MAHARASHTRA,varities of groundnut ,spray Planofix  5ml10liter of water
Onion,KOLHAPUR,75,RABI,HORTICULTURE,MAHARASHTRA,market price of wheat,spray copper oxychloride  25gm  streptocycline  1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline  25 gm and 1 gm respectively in 10 ltr water
Watermelon,KOLHAPUR,Fertilizer Use and Availability,RABI,HORTICULTURE,MAHARASHTRA,red leaf of cotton,spraying of microla 25 ml in 20 ml humic acid in 10 lit of water
Onion,AURANGABAD,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,attack of thrips on chilli ,copper oxycloride25ml10lit of water
Onion,AURANGABAD,75,KHARIF,HORTICULTURE,MAHARASHTRA,infection of brinjal ,spray copper oxychloride  25gm  streptocycline  1 gm in 10 ltr water take second spraying after 15 days containing bavistin and streptocycline  25 gm and 1 gm respectively in 10 ltr water
Watermelon,AURANGABAD,84,,HORTICULTURE,MAHARASHTRA,red leaf of cotton ,watermelon should be harwest 3-35month after sowing
1075,JALNA,2,KHARIF,AGRICULTURE,MAHARASHTRA,late sowing time of wheat,dranching of bavistin 25 gm in 10 lit of water
Capsicum,JALNA,78,KHARIF,HORTICULTURE,MAHARASHTRA,control measure for gram dumping of or wilt disease,apply arka mohinigouravvasantgreen gold 
Capsicum,JALNA,78,KHARIF,HORTICULTURE,MAHARASHTRA,Weather inquiry,
1037,JALNA,1,KHARIF,AGRICULTURE,MAHARASHTRA,ask sowing season of summer watermelon ,20 october - 8 November
1037,JALNA,1,KHARIF,AGRICULTURE,MAHARASHTRA,sowing season of gnut,
Groundnut pea nutmung phalli,PARBHANI,1,KHARIF,AGRICULTURE,MAHARASHTRA,sowing season of soyabean,15 January - 15 February
Cotton Kapas,BEED,6,,AGRICULTURE,MAHARASHTRA,attack of jassids on chilli ,max5291 min5000 avg5100rsqt
1279,BEED,78,RABI,HORTICULTURE,MAHARASHTRA,control measure for wheat rust,krushnaruchiraarunapusa kranti
Others,BEED,29,KHARIF,AGRICULTURE,MAHARASHTRA,Varieties of cow pea,dissconected
Pigeon pea red gramarhartur,NANDED,3,JAYAD,AGRICULTURE,MAHARASHTRA,dos of N:P:K ,spray quinolphosh 25ec20ml10litof water
Cotton Kapas,NANDED,29,KHARIF,AGRICULTURE,MAHARASHTRA,market rate of wheat,Spray 100gm Magnesium sulphate  50gm Urea in 10 lit of water
Cotton Kapas,NANDED,Plant Protection,,AGRICULTURE,MAHARASHTRA,infection of bhindi ,apply mg sulphate
2051,OSMANABAD,Agriculture Mechanization,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT RICE CULTURAL PRACTICES,spraying of emidaclprid
Cotton Kapas,OSMANABAD,3,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT RICE NURSERY MANAGENMANT,spraying of emida cropid 5 ml in 10 lit of water
Wheat,LATUR,Agriculture Mechanization,,AGRICULTURE,MAHARASHTRA,ASKED ABOUT STEM APPLICATION IN COTTON,spraying of isoprotoron weedicide
Wheat,LATUR,2,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CULTURAL PRACTICES IN BLACK GRAM,spraying of mancozeb 25 gm in 10 lit of water
Wheat,BULDANA,2,KHARIF,AGRICULTURE,MAHARASHTRA,ASKED ABOUT CULTURAL PRACTICES IN BANANA,Spray the crop with Mancozeb or Zineb at 15 kgha
Onion,BULDANA,Agriculture Mechanization,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT CULTURAL PRACTICES IN RADISH,copper oxycloride25ml10lit of water
1280,BULDANA,76,,HORTICULTURE,MAHARASHTRA,ASKED ABOUT WEATHER REPORT,spray 2ml sypermetrin in 10lt of water
